TRADE NO 	DATETIME 	TYPE 	SYMBOL 	VOLUME 	OPEN PRICE 	CLOSE PRICE 	SWAP 	COMMISSION 	P&L
73926626 	2021-04-27 15:43 	SELL 	NZDCHF 	0.02 	0.65867 	0.65778 	-0.18 	0 	1.61
73932357 	2021-04-26 12:18 	SELL 	NZDCAD 	0.01 	0.89911 	0.89887 	0 	0 	0.16
73932410 	2021-04-27 09:11 	SELL 	NZDUSD 	0.01 	0.7217 	0.72074 	-0.01 	0 	0.79
73934734 	2021-04-27 09:11 	SELL 	AUDUSD 	0.01 	0.77859 	0.77775 	-0.03 	0 	0.69
73958871 	2021-04-27 11:26 	BUY 	GBPCAD 	0.02 	1.72352 	1.72379 	-0.16 	0 	0.36
73958931 	2021-04-27 04:33 	SELL 	CHFJPY 	0.02 	118.249 	118.232 	0.01 	0 	0.26
73973768 	2021-04-27 07:14 	BUY 	EURAUD 	0.02 	1.54888 	1.54934 	0 	0 	0.59
73973814 	2021-04-27 07:14 	BUY 	EURCAD 	0.02 	1.4973 	1.49797 	0 	0 	0.89
73973882 	2021-04-27 07:22 	BUY 	GBPAUD 	0.02 	1.78202 	1.78241 	0 	0 	0.51
73973922 	2021-04-27 07:45 	SELL 	AUDJPY 	0.01 	84.366 	84.308 	0 	0 	0.44
73973951 	2021-04-27 08:18 	SELL 	AUDCHF 	0.01 	0.71364 	0.71311 	0 	0 	0.48
73973970 	2021-04-27 07:42 	SELL 	NZDJPY 	0.01 	78.211 	78.141 	0 	0 	0.53
73974008 	2021-04-27 08:27 	SELL 	NZDCHF 	0.01 	0.66164 	0.66087 	0 	0 	0.69
73985890 	2021-04-27 12:22 	BUY 	NZDCAD 	0.01 	0.89503 	0.89558 	0 	0 	0.37
73994862 	2021-04-27 14:27 	BUY 	USDCHF 	0.02 	0.91404 	0.91425 	0 	0 	0.38
74026585 	2021-05-04 10:04 	SELL 	EURJPY 	0.02 	131.366 	131.328 	0 	0 	0.58
74026615 	2021-04-28 03:27 	SELL 	GBPJPY 	0.02 	151.169 	151.077 	-0.08 	0 	1.4
74026636 	2021-04-28 02:30 	SELL 	AUDJPY 	0.02 	84.412 	84.307 	-0.17 	0 	1.6
74026717 	2021-04-28 07:02 	SELL 	CHFJPY 	0.02 	118.93 	118.896 	0.01 	0 	0.52
74026748 	2021-04-30 16:10 	SELL 	NZDJPY 	0.02 	78.348 	78.327 	-0.59 	0 	0.32
74047155 	2021-04-28 06:25 	SELL 	EURGBP 	0.02 	0.87031 	0.86959 	0 	0 	1.66
74047202 	2021-04-28 05:24 	SELL 	EURAUD 	0.02 	1.55997 	1.55892 	0 	0 	1.35
74047590 	2021-04-28 10:44 	BUY 	GBPCAD 	0.02 	1.72225 	1.7233 	0 	0 	1.41
74047646 	2021-04-30 15:56 	BUY 	AUDNZD 	0.02 	1.07554 	1.0765 	-0.05 	0 	1.14
74066628 	2021-06-21 04:37 	SELL 	CHFJPY 	0.02 	119.049 	118.976 	0.62 	0 	1.12
74066664 	2021-04-30 15:06 	SELL 	NZDJPY 	0.01 	78.581 	78.517 	-0.24 	0 	0.48
74138794 	2021-04-30 07:22 	SELL 	EURJPY 	0.01 	131.842 	131.812 	0 	0 	0.23
74138847 	2021-06-21 04:17 	SELL 	CADJPY 	0.01 	88.338 	88.257 	-3 	0 	0.62
74138931 	2021-05-05 09:02 	SELL 	CHFJPY 	0.01 	119.431 	119.399 	0.04 	0 	0.24
74139001 	2021-04-29 09:30 	SELL 	GBPUSD 	0.01 	1.39565 	1.39478 	0 	0 	0.72
74184092 	2021-05-10 15:21 	BUY 	GBPCAD 	0.01 	1.71307 	1.71297 	-0.73 	0 	-0.07
74184209 	2021-05-10 12:41 	BUY 	AUDCAD 	0.01 	0.95487 	0.95544 	-0.08 	0 	0.38
74270820 	2021-05-03 07:18 	SELL 	USDJPY 	0.01 	109.633 	109.606 	0 	0 	0.21
74284861 	2021-05-03 10:19 	SELL 	USDJPY 	0.01 	109.635 	109.568 	0 	0 	0.51
74284954 	2021-05-03 10:33 	SELL 	EURJPY 	0.01 	132.032 	131.997 	0 	0 	0.27
74289860 	2021-05-03 10:58 	SELL 	GBPNZD 	0.01 	1.93435 	1.93391 	0 	0 	0.26
74289946 	2021-05-03 11:16 	BUY 	NZDCAD 	0.01 	0.88173 	0.88199 	0 	0 	0.18
74291190 	2021-05-03 11:32 	SELL 	EURAUD 	0.01 	1.55998 	1.55954 	0 	0 	0.28
74296885 	2021-05-03 13:38 	SELL 	GBPJPY 	0.01 	151.811 	151.746 	0 	0 	0.49
74321202 	2021-05-03 17:09 	SELL 	XAUUSD 	0.01 	1793.11 	1792.91 	0 	0 	0.17
74321244 	2021-05-03 17:11 	BUY 	USDCAD 	0.01 	1.22781 	1.22818 	0 	0 	0.25
74321278 	2021-05-03 18:35 	SELL 	XAGUSD 	0.01 	26.852 	26.847 	0 	0 	0.21
74325377 	2021-05-03 20:00 	BUY 	USDCAD 	0.01 	1.2271 	1.22739 	0 	0 	0.19
74325394 	2021-05-03 23:39 	SELL 	AUDJPY 	0.01 	84.674 	84.63 	0 	0 	0.33
74326503 	2021-05-03 20:11 	SELL 	XAUUSD 	0.01 	1792.21 	1792 	0 	0 	0.17
74340017 	2021-05-04 08:00 	BUY 	NZDUSD 	0.01 	0.71691 	0.71714 	0 	0 	0.19
74340073 	2021-05-04 07:35 	BUY 	EURCAD 	0.01 	1.47994 	1.48021 	0 	0 	0.18
74340127 	2021-05-05 12:22 	SELL 	GBPNZD 	0.01 	1.93505 	1.93473 	0.02 	0 	0.19
74340175 	2021-05-04 15:06 	SELL 	AUDNZD 	0.01 	1.07937 	1.07842 	0 	0 	0.57
74340225 	2021-05-04 08:00 	BUY 	NZDCAD 	0.01 	0.88124 	0.88201 	0 	0 	0.52
74343976 	2021-05-04 08:32 	SELL 	AUDJPY 	0.01 	84.648 	84.565 	0 	0 	0.63
